ticker,scan_date,c,gap,gap_pct,pm_high_pct,pm_vol,prev_close,prev_high,o,h,l,month
SRM,2025-06-16,9.19,4.069999999999999,280.6896551724138,647.5793103448276,251394135.0,1.45,1.48,5.52,10.8399,4.3,2025-06
RGC,2025-06-16,60.0,10.539499999999999,67.29989463937932,433.8271447271798,5288933.0,15.6605,16.5237,26.2,83.6,26.2,2025-06
DWSN,2025-06-16,2.9,4.13,301.45985401459853,304.37956204379554,53406690.0,1.37,1.3885,5.5,5.54,2.4101,2025-06
SONM,2025-06-16,1.68,0.6002000000000001,64.55151645515166,130.15702301570232,113348717.0,0.9298,1.12,1.53,2.14,1.3,2025-06
BATL,2025-06-16,2.74,1.28,78.04878048780488,123.77439024390245,45330531.0,1.64,1.8799,2.92,3.6699,2.03,2025-06
STAK,2025-06-16,2.31,1.7900000000000003,91.79487179487181,103.58974358974362,24592489.0,1.95,2.1236,3.74,3.97,2.13,2025-06
SATS,2025-06-16,25.11,7.43,44.12114014251781,50.17755344418051,15844856.0,16.84,18.0,24.27,25.2899,23.87,2025-06
CERO,2025-06-17,19.83,3.5519999999999996,51.71811298776936,292.98194525334884,57440902.0,6.868,7.49,10.42,26.99,10.35,2025-06
ACXP,2025-06-17,16.414,12.154,197.88342559426894,241.90817323347443,17208135.9,6.142,6.4,18.296,21.0,12.67,2025-06
VERV,2025-06-17,11.38,4.765000000000001,75.99681020733654,81.89792663476874,83439303.0,6.27,6.4096,11.035,11.405,10.85,2025-06
APVO,2025-06-18,5.13,3.3400000000000003,118.43971631205676,364.8900709219858,124472376.0,2.82,3.8,6.16,13.1099,4.8,2025-06
KWE,2025-06-18,11.21,3.9299999999999997,68.22916666666666,166.84027777777777,37359935.0,5.76,6.36,9.69,15.37,9.21,2025-06
LSE,2025-06-18,7.47,3.95,71.17117117117118,76.2144144144144,16859568.0,5.55,6.5,9.5,9.7799,6.5812,2025-06
LGHL,2025-06-18,3.33,1.73,62.23021582733813,74.09712230215828,33692400.0,2.78,2.92,4.51,4.8399,2.76,2025-06
RELI,2025-06-18,2.92,0.96,44.23963133640553,63.59447004608294,49928518.0,2.17,2.32,3.13,3.55,2.67,2025-06
WHLR,2025-06-20,7.2,4.16,121.63742690058481,193.85964912280707,52350711.0,3.42,3.74,7.58,10.05,6.16,2025-06
INDP,2025-06-23,14.0,7.994000000000001,105.70159200296187,163.30988522769343,13048566.6071,7.5628,9.52,15.5568,19.9136,13.2328,2025-06
CDTX,2025-06-23,44.95,19.610000000000003,93.2921027592769,115.93720266412939,6741757.0,21.02,21.53,40.63,45.39,37.76,2025-06
HUSA,2025-06-23,18.54,6.469999999999999,43.71621621621621,72.70202702702701,12760731.0,14.8,15.9999,21.27,25.5599,17.29,2025-06
INDO,2025-06-23,4.87,1.54,30.434782608695656,57.11462450592888,53507352.0,5.06,5.07,6.6,7.95,4.7,2025-06
SPTN,2025-06-23,26.57,8.675,49.178004535147394,51.07709750566891,9138878.0,17.64,18.17,26.315,26.65,26.26,2025-06
NKTR,2025-06-24,24.45,10.380000000000003,108.80503144654092,190.14675052410905,37172732.0,9.54,9.75,19.92,27.68,16.56,2025-06
NA,2025-06-24,14.85,18.03,165.56473829201101,189.07254361799818,17859313.0,10.89,11.7,28.92,31.48,14.5,2025-06
INM,2025-06-24,3.87,1.7599999999999998,71.83673469387753,124.48979591836734,109978256.0,2.45,2.48,4.21,5.5,3.36,2025-06
GCTK,2025-06-25,7.84,8.535,137.43961352657007,156.0386473429952,24137179.0,6.21,6.61,14.745,15.9,7.77,2025-06
ULY,2025-06-25,8.19,3.5592000000000006,79.25536652712213,109.75995368308543,24217654.0,4.4908,4.72,8.05,9.4199,6.7,2025-06
CYN,2025-06-26,13.6,11.389999999999999,227.3453093812375,729.1417165668664,140839275.0,5.01,5.01,16.4,41.54,11.33,2025-06
ASTI,2025-06-26,2.84,1.705,146.3519313304721,218.45493562231758,112814148.0,1.165,1.6,2.87,3.71,2.1,2025-06
LCFY,2025-06-27,8.3,7.260000000000001,284.7058823529412,448.23529411764713,96031330.0,2.55,2.775,9.81,13.98,6.9,2025-06
BMNR,2025-06-30,33.9,10.735,251.69988276670577,705.6271981242674,110196702.0,4.265,4.57,15.0,34.36,12.38,2025-06
ARTL,2025-06-30,13.27,13.71,201.9145802650957,276.7304860088365,27022818.0,6.79,7.1799,20.5,25.58,12.6,2025-06
IPDN,2025-06-30,3.38,1.7200000000000002,98.28571428571429,182.2857142857143,55197078.0,1.75,1.75,3.47,4.94,3.05,2025-06
WBUY,2025-06-30,7.73,3.1499999999999995,55.950266429840134,73.71225577264653,44486678.0,5.63,6.09,8.78,9.78,5.2901,2025-06
BGLC,2025-07-01,11.14,7.074999999999999,230.45602605863192,408.1433224755701,51022796.0,3.07,3.3307,10.145,15.6,8.83,2025-07
CLRO,2025-07-01,10.48,6.75,117.3913043478261,168.17391304347825,38800047.0,5.75,6.025,12.5,15.42,9.31,2025-07
BMNR,2025-07-01,46.0,18.1,53.39233038348083,120.64896755162242,47104915.0,33.9,34.36,52.0,74.8,41.2201,2025-07
WETO,2025-07-01,2.05,1.94,86.99551569506725,87.44394618834079,43380708.0,2.23,2.6163,4.17,4.18,1.89,2025-07
GPUS,2025-07-01,1.42,0.6200000000000001,44.28571428571429,59.2857142857143,115714489.0,1.4,1.4,2.02,2.23,1.37,2025-07
MOGO,2025-07-02,2.57,2.27,187.60330578512395,216.52892561983475,267085045.0,1.21,1.28,3.48,3.83,2.32,2025-07
DAIC,2025-07-02,8.19,4.009999999999999,86.98481561822122,210.19522776572668,44685675.0,4.61,5.14,8.62,14.3,7.81,2025-07
ELWS,2025-07-02,3.17,0.9550000000000001,50.26315789473684,74.21052631578948,59289234.0,1.9,1.94,2.855,3.31,2.54,2025-07
GITS,2025-07-03,3.84,2.49,152.76073619631904,200.61349693251537,46215077.0,1.63,1.63,4.12,4.9,3.35,2025-07
LRHC,2025-07-03,12.0,11.448,178.65168539325842,191.1360799001248,8107069.5,6.408,7.408,17.856,18.656,10.128,2025-07
MBIO,2025-07-07,3.34,2.37,199.15966386554624,488.2352941176471,278739673.0,1.19,1.29,3.56,7.0,3.23,2025-07
LGPS,2025-07-07,1.7,1.1800000000000002,140.4761904761905,158.33333333333334,71917000.0,0.84,0.87,2.02,2.17,1.26,2025-07
ARTL,2025-07-07,14.32,11.509999999999998,114.52736318407956,134.02985074626864,7190648.0,10.05,11.01,21.56,23.52,13.31,2025-07
SONN,2025-07-07,4.73,1.8200000000000003,46.42857142857144,53.06122448979591,30187877.0,3.92,4.14,5.74,6.0,4.54,2025-07
NDRA,2025-07-08,8.3,7.1434,206.65972342764567,246.0047445466644,90809585.0,3.4566,3.59,10.6,11.96,7.0,2025-07
SQNS,2025-07-08,2.06,0.5650000000000002,39.51048951048952,87.41258741258744,88908988.0,1.43,1.46,1.995,2.68,1.72,2025-07
CLDI,2025-07-09,8.4,6.711600000000001,166.95522388059706,377.61194029850753,51730605.4167,4.02,4.08,10.7316,19.2,7.68,2025-07
SUGP,2025-07-09,12.2,4.752,105.71746384872078,309.34371523915456,21356271.3,4.495,4.7,9.247,18.4,8.8211,2025-07
EVOK,2025-07-09,6.99,5.84,219.5488721804511,271.42857142857144,140156033.0,2.66,2.8239,8.5,9.88,6.12,2025-07
BMGL,2025-07-09,3.62,1.2899999999999998,70.87912087912088,104.94505494505492,85820901.0,1.82,1.9163,3.11,3.73,2.63,2025-07
SCAG,2025-07-09,6.58,3.6499999999999995,86.90476190476188,94.52142857142856,9542114.0,4.2,4.2,7.85,8.1699,5.42,2025-07
KZIA,2025-07-09,9.53,2.9750000000000005,43.5897435897436,58.09523809523809,10698233.0,6.825,7.17,9.8,10.79,7.8,2025-07
SOBR,2025-07-09,4.74,1.4699999999999998,43.62017804154302,56.973293768545986,25941067.0,3.37,3.49,4.84,5.29,4.1023,2025-07
BTCM,2025-07-10,6.25,4.56,185.36585365853657,228.0447154471545,160235117.0,2.46,2.59,7.02,8.0699,4.79,2025-07
SAFX,2025-07-10,1.95,2.05,136.66666666666666,139.33333333333331,117144870.0,1.5,1.62,3.55,3.59,1.8807,2025-07
STKH,2025-07-10,3.0,0.8500000000000001,48.57142857142858,105.14285714285711,55215599.0,1.75,1.7799,2.6,3.59,2.33,2025-07
MP,2025-07-10,45.23,18.07,60.17316017316017,60.22311022311022,86416225.0,30.03,31.6692,48.1,48.115,42.86,2025-07
INKT,2025-07-11,64.17,13.34,172.5743855109961,883.1824062095731,47857735.0,7.73,7.8035,21.07,76.0,20.2,2025-07
ABVE,2025-07-11,3.63,1.95,125.80645161290323,183.8709677419355,287354135.0,1.55,2.12,3.5,4.4,2.68,2025-07
SGN,2025-07-11,2.38,1.8900000000000001,153.65853658536585,167.47967479674796,110879684.0,1.23,1.75,3.12,3.29,2.2,2025-07
FTFT,2025-07-11,3.94,0.8200000000000001,54.3046357615894,166.88741721854305,96588146.0,1.51,1.58,2.33,4.03,2.1798,2025-07
CVM,2025-07-11,3.53,2.44,63.87434554973822,85.60209424083769,27062031.0,3.82,3.87,6.26,7.09,3.4,2025-07
ZBAI,2025-07-11,9.72,3.7403999999999993,53.14578005115088,67.21227621483375,6712383.0556,7.038,7.9182,10.7784,11.7684,7.956,2025-07
HOLO,2025-07-11,6.91,3.6100000000000003,59.7682119205298,65.39735099337749,52506130.0,6.04,6.1,9.65,9.99,6.3101,2025-07
SQFT,2025-07-14,13.6,5.79,113.30724070450098,350.0978473581213,51280254.0,5.11,5.3,10.9,23.0,9.22,2025-07
SONN,2025-07-14,9.64,9.86,190.71566731141198,273.3075435203095,44615724.0,5.17,5.67,15.03,19.3,7.78,2025-07
DARE,2025-07-14,3.09,5.395,214.5129224652087,265.40755467196817,71446955.0,2.515,2.7393,7.91,9.19,3.02,2025-07
MGRM,2025-07-14,5.87,2.24,68.08510638297874,82.97872340425529,14351950.0,3.29,3.3357,5.53,6.02,5.17,2025-07
XAGE,2025-07-15,5.7,3.845,145.3686200378072,212.66540642722114,104318749.0,2.645,2.7,6.49,8.27,4.97,2025-07
NUWE,2025-07-16,15.95,12.004999999999999,174.11167512690355,276.3596809282089,40080555.0,6.895,7.56,18.9,25.95,14.52,2025-07
GTI,2025-07-16,6.24,3.846000000000001,87.80821917808221,89.04109589041096,7539608.75,4.38,4.44,8.226,8.28,5.808,2025-07
QLGN,2025-07-16,3.93,1.9,53.82436260623229,88.95184135977338,48109117.0,3.53,3.55,5.43,6.67,3.83,2025-07
GAME,2025-07-16,2.31,0.675,44.70198675496689,86.75496688741721,99499324.0,1.51,1.65,2.185,2.82,2.05,2025-07
VLCN,2025-07-17,21.61,31.502699999999997,341.5185976171633,377.9766486345848,30489270.0,9.2243,9.38,40.727,44.09,20.83,2025-07
XXII,2025-07-17,4.9,3.08,67.24890829694323,106.76855895196509,25667376.0,4.58,4.72,7.66,9.47,4.51,2025-07
BSLK,2025-07-17,3.03,2.0,90.49773755656109,96.38009049773754,72524008.0,2.21,2.2881,4.21,4.34,2.95,2025-07
TELO,2025-07-18,2.28,1.8450000000000002,152.4793388429752,156.19834710743805,137205810.0,1.21,1.22,3.055,3.1,2.04,2025-07
MEIP,2025-07-18,5.92,4.48,99.55555555555556,100.0,41286932.0,4.5,4.5,8.98,9.0,5.22,2025-07
BZAI,2025-07-18,4.81,2.28,75.24752475247524,79.53795379537955,73519679.0,3.03,3.2,5.31,5.44,4.13,2025-07
ZIMV,2025-07-21,18.76,10.315,122.21563981042654,122.80805687203791,10654397.0,8.44,8.81,18.755,18.805,18.72,2025-07
GCTK,2025-07-21,7.97,3.880000000000001,66.5523156089194,67.23842195540308,18636584.0,5.83,6.28,9.71,9.75,7.73,2025-07
HSDT,2025-07-21,9.58,4.91,55.168539325842694,62.35955056179774,18068208.0,8.9,9.57,13.81,14.45,9.21,2025-07
HTOO,2025-07-22,6.71,5.53,129.20560747663552,195.09345794392522,30119548.0,4.28,4.5152,9.81,12.63,6.44,2025-07
KSS,2025-07-22,14.34,9.33,89.53934740882917,105.27831094049907,209344034.0,10.42,10.42,19.75,21.39,12.3744,2025-07
IVF,2025-07-22,3.46,1.1100000000000003,43.5294117647059,66.2745098039216,52397644.0,2.55,2.8,3.66,4.24,3.02,2025-07
ABVX,2025-07-23,68.6,53.1,531.0,613.5,27831874.0,10.0,10.7301,63.1,71.35,62.5,2025-07
PAPL,2025-07-23,5.95,4.970000000000001,142.00000000000003,172.28285714285713,25704477.0,3.5,5.03,8.47,9.5299,4.91,2025-07
AMOD,2025-07-23,1.85,0.8200000000000001,70.68965517241381,124.13793103448279,139267349.0,1.16,1.26,1.98,2.6,1.61,2025-07
ANEB,2025-07-23,3.33,1.4100000000000001,77.04918032786885,86.88524590163934,20095412.0,1.83,1.96,3.24,3.42,3.07,2025-07
GPRO,2025-07-23,1.54,0.9449999999999998,68.97810218978101,72.99270072992701,252827730.0,1.37,1.442,2.315,2.37,1.46,2025-07
LIDR,2025-07-24,2.92,2.9000000000000004,256.63716814159295,324.77876106194697,362801555.0,1.13,1.15,4.03,4.8,2.6707,2025-07
MCVT,2025-07-25,5.9,0.9699999999999998,52.43243243243242,258.9189189189189,116360640.0,1.85,1.86,2.82,6.64,2.44,2025-07
VAPE,2025-07-28,57.585,43.115,485.80281690140845,833.8591549295775,14360517.0,8.875,9.39,51.99,82.88,46.1,2025-07
VWAV,2025-07-28,11.0,1.7499999999999996,74.46808510638296,435.74468085106383,254749756.0,2.35,2.45,4.1,12.59,3.28,2025-07
CELC,2025-07-28,36.79,32.19,233.76906318082789,237.10965867828614,27636771.0,13.77,14.4799,45.96,46.42,35.0,2025-07
GTI,2025-07-28,8.58,3.4530000000000003,58.131313131313135,66.45454545454544,5561488.45,5.94,6.3,9.393,9.8874,6.852,2025-07
SLRX,2025-07-29,14.994,12.283499999999998,110.49790851437051,211.69882606935633,6782591.5333,11.1165,12.0,23.4,34.65,14.55,2025-07
CLDI,2025-07-29,7.5804,4.2048000000000005,63.75545851528385,65.57496360989809,14904375.8333,6.5952,7.7988,10.8,10.92,7.2204,2025-07
REPL,2025-07-30,7.55,2.665,71.06666666666666,115.20000000000002,202083397.0,3.75,3.99,6.415,8.07,5.71,2025-07
BGLC,2025-07-30,7.18,3.2,71.74887892376682,101.34529147982066,58855110.0,4.46,4.595,7.66,8.98,5.9,2025-07
SNGX,2025-07-31,2.93,0.6399999999999999,51.19999999999999,330.40000000000003,376409042.0,1.25,1.305,1.89,5.38,1.66,2025-07
PHLT,2025-08-01,7.64,3.95,111.26760563380283,118.02816901408453,16803237.0,3.55,3.57,7.5,7.74,7.5,2025-08
MWYN,2025-08-01,1.38,0.82,91.1111111111111,94.44444444444444,97433343.0,0.9,1.015,1.72,1.75,1.16,2025-08
VERB,2025-08-04,20.42,5.700000000000001,59.936908517350176,213.03890641430075,34947714.0,9.51,10.57,15.21,29.77,13.65,2025-08
COMM,2025-08-04,14.51,6.04,77.53530166880617,94.48010269576382,75863941.0,7.79,7.935,13.83,15.15,12.89,2025-08
SCS,2025-08-04,16.58,4.52,44.40078585461689,68.27111984282908,20811621.0,10.18,10.35,14.7,17.13,14.62,2025-08
SNGX,2025-08-04,3.11,1.4399999999999995,52.55474452554743,57.84671532846715,49145203.0,2.74,2.91,4.18,4.325,3.01,2025-08
SMXT,2025-08-05,1.66,0.67,72.04301075268818,168.81720430107526,323673679.0,0.93,0.97,1.6,2.5,1.55,2025-08
YMAB,2025-08-05,8.52,4.345,103.69928400954653,103.81861575178992,20034668.0,4.19,4.535,8.535,8.54,8.495,2025-08
AIP,2025-08-05,13.0,4.83,51.11111111111112,51.21693121693123,21920225.0,9.45,9.49,14.28,14.29,12.3,2025-08
LPSN,2025-08-06,1.18,0.5122999999999999,57.71093838008334,62.216965190942865,110390870.0,0.8877,0.8924,1.4,1.44,1.0801,2025-08
AVAH,2025-08-07,5.81,1.4300000000000002,36.760925449871465,59.383033419023135,14408713.0,3.89,3.965,5.32,6.2,5.22,2025-08
MRM,2025-08-08,2.76,0.8299999999999998,69.16666666666666,194.15833333333333,118652468.0,1.2,1.28,2.03,3.5299,1.65,2025-08
ENTO,2025-08-11,1.8222,0.5838000000000001,53.32967936420938,113.75719375171278,100670740.6667,1.0947,1.2114,1.6785,2.34,1.527,2025-08
IMXI,2025-08-11,14.9,5.9350000000000005,63.954741379310356,64.54741379310344,10209578.0,9.28,9.405,15.215,15.27,14.89,2025-08
ATNF,2025-08-12,10.24,2.6400000000000006,79.0419161676647,281.43712574850304,225466046.0,3.34,3.4,5.98,12.74,4.88,2025-08
WOW,2025-08-12,5.04,1.6749999999999998,49.556213017751475,50.591715976331365,44698517.0,3.38,3.6496,5.055,5.09,5.02,2025-08
BSLK,2025-08-13,14.32,1.31,60.09174311926605,705.0458715596329,264180058.0,2.18,2.2,3.49,17.55,3.21,2025-08
MNTS,2025-08-13,1.91,0.7799999999999998,70.27027027027025,119.8198198198198,323489583.0,1.11,1.13,1.89,2.44,1.5,2025-08
WBTN,2025-08-13,16.96,3.3900000000000006,36.21794871794873,97.11538461538463,15143810.0,9.36,9.415,12.75,18.45,12.725,2025-08
XPON,2025-08-14,2.02,2.35,179.38931297709922,319.8473282442748,390916406.0,1.31,1.34,3.66,5.5,1.93,2025-08
TRIB,2025-08-14,1.91,1.1597,114.78768682569533,240.49292289418983,208513130.0,1.0103,1.19,2.17,3.44,1.54,2025-08
SNOA,2025-08-14,5.27,2.578,84.46920052424639,126.73328964613368,69901059.0,3.052,3.1345,5.63,6.9199,4.8301,2025-08
BMRA,2025-08-14,3.51,1.1700000000000004,38.61386138613862,51.81518151815181,39637736.0,3.03,3.13,4.2,4.6,3.41,2025-08
PGEN,2025-08-15,2.94,0.75,40.54054054054054,88.64324324324325,173718338.0,1.85,1.95,2.6,3.4899,2.51,2025-08
PPSI,2025-08-15,4.35,1.73,55.62700964630225,83.27652733118973,97126805.0,3.11,3.25,4.84,5.6999,4.1,2025-08
TIVC,2025-08-15,3.79,1.5899999999999999,45.42857142857142,59.999999999999986,41387868.0,3.5,3.7,5.09,5.6,3.51,2025-08
SNGX,2025-08-18,4.96,1.02,36.69064748201439,124.0971223021583,184362760.0,2.78,2.8677,3.8,6.2299,3.5705,2025-08
VTAK,2025-08-18,4.25,1.4499999999999997,55.55555555555555,65.13409961685824,59900049.0,2.61,2.8811,4.06,4.31,3.41,2025-08
PRFX,2025-08-19,2.37,1.7699999999999998,132.08955223880594,167.910447761194,165230311.0,1.34,1.36,3.11,3.59,2.1,2025-08
GXAI,2025-08-19,2.06,0.6099999999999999,55.45454545454543,120.9090909090909,250952092.0,1.1,1.1,1.71,2.43,1.51,2025-08
LASE,2025-08-19,3.92,2.1399999999999997,86.99186991869917,117.07317073170734,131662323.0,2.46,2.67,4.6,5.34,3.8701,2025-08
PLYM,2025-08-19,21.53,7.469999999999999,51.02459016393441,54.71311475409835,6827199.0,14.64,15.02,22.11,22.65,21.02,2025-08
SISI,2025-08-20,6.78,2.62,52.92929292929293,57.97979797979798,29786352.0,4.95,5.405,7.57,7.82,6.12,2025-08
APM,2025-08-21,4.25,1.44,113.38582677165354,251.96850393700788,397825702.0,1.27,1.32,2.71,4.47,2.4,2025-08
PTIX,2025-08-21,4.26,1.3600000000000003,59.64912280701756,171.92982456140356,158867910.0,2.28,2.58,3.64,6.2,3.55,2025-08
AEMD,2025-08-21,2.19,0.5299999999999998,47.747747747747724,146.84684684684686,146417886.0,1.11,1.14,1.64,2.74,1.56,2025-08
ELAB,2025-08-22,2.37,0.6199999999999999,32.804232804232804,94.70899470899472,158423694.0,1.89,1.9,2.51,3.68,2.32,2025-08
HCWB,2025-08-25,5.55,2.0189999999999997,58.50478122283395,112.9817444219067,87688859.0,3.451,3.48,5.47,7.35,4.9,2025-08
CAPS,2025-08-25,1.71,0.77,70.0,88.18181818181816,105018631.0,1.1,1.14,1.87,2.07,1.58,2025-08
STSS,2025-08-25,10.35,4.045,54.99660095173351,80.556084296397,24815951.0,7.355,7.45,11.4,13.2799,10.0,2025-08
ALLR,2025-08-26,1.88,1.0387,110.34739190481248,149.65473281631785,346255860.0,0.9413,0.9486,1.98,2.35,1.75,2025-08
SATS,2025-08-26,52.32,24.23,81.09103078982598,84.70548862115126,39234809.0,29.88,30.07,54.11,55.19,51.77,2025-08
