ticker,date,stage,entry_type,pnl_r,outcome,win,confidence,grade_a_rate,expected_r,risk_r,gap_pct,pm_high_pct,prev_close,entry_price,market_cap,win_streak,loss_streak,month
PTPI,2025-03-26,high_and_tight,opening_fbo,1.9624391481663888,grade_a,1,0.8,0.8,2.1,0.4,142.2145328719723,297.9238754325259,1.445,3.5,,17,0,2025-03
OSRH,2025-03-26,high_and_tight,opening_fbo,1.9595299421596062,grade_a,1,0.8,0.8,2.1,0.4,159.38125,170.62499999999997,1.6,4.1501,,18,0,2025-03
SURG,2025-03-26,backside_pop,opening_fbo,2.22103290482414,grade_a,1,0.728,0.728,1.8,0.4,73.91304347826087,113.768115942029,1.38,2.4,,19,0,2025-03
BLNE,2025-03-26,deep_backside,opening_fbo,1.6903967942702405,grade_a,1,0.75,0.75,1.6,0.4,57.97872340425534,67.5531914893617,1.88,2.97,,20,0,2025-03
GTEC,2025-03-27,deep_backside,opening_fbo,1.7175579976757653,grade_a,1,0.75,0.75,1.6,0.4,72.51908396946563,96.94656488549616,1.31,2.26,,21,0,2025-03
DRMA,2025-03-27,deep_backside,opening_fbo,0.40426414814369266,grade_b,1,0.75,0.75,1.6,0.4,62.96296296296296,75.55555555555556,13.5,22.0,,22,0,2025-03
PRTG,2025-03-28,high_and_tight,opening_fbo,1.7952009876892492,grade_a,1,0.8,0.8,2.1,0.4,153.71549893842885,180.25477707006368,4.71,11.95,,23,0,2025-03
DBVT,2025-03-28,deep_backside,opening_fbo,1.6907209164391532,grade_a,1,0.75,0.75,1.6,0.4,54.21994884910486,73.39897698209717,3.91,6.03,,24,0,2025-03
CORT,2025-03-31,backside_pop,opening_fbo,2.456930411961335,grade_a,1,0.728,0.728,1.8,0.4,73.7689913966685,114.77210323997804,54.63,94.93,,25,0,2025-03
GRI,2025-04-01,high_and_tight,opening_fbo,-0.42654676416856163,grade_c,0,0.8,0.8,2.1,0.4,191.5625,247.49999999999997,3.2,9.33,,0,1,2025-04
NMAX,2025-04-01,backside_pop,opening_fbo,2.492090150039331,grade_a,1,0.728,0.728,1.8,0.4,50.85618488803736,217.32726619566515,83.51,125.98,,1,0,2025-04
ICCT,2025-04-01,deep_backside,opening_fbo,1.3577445310930967,grade_a,1,0.75,0.75,1.6,0.4,41.07142857142856,141.9642857142857,2.24,3.16,,2,0,2025-04
SATX,2025-04-01,deep_backside,opening_fbo,-0.16401489254680687,grade_b,0,0.75,0.75,1.6,0.4,65.0,67.49999999999999,1.2,1.98,,0,1,2025-04
QNRX,2025-04-02,deep_backside,opening_fbo,1.2650049332048898,grade_a,1,0.75,0.75,1.6,0.4,60.68052930056712,98.48771266540643,7.406,11.9,,1,0,2025-04
SBFM,2025-04-02,deep_backside,opening_fbo,1.750331163324881,grade_a,1,0.75,0.75,1.6,0.4,58.17307692307692,87.5,2.08,3.29,,2,0,2025-04
PTIX,2025-04-03,high_and_tight,opening_fbo,2.5273984633444155,grade_a,1,0.8,0.8,2.1,0.4,136.5198237885463,172.2435494021397,3.178,7.5166,,3,0,2025-04
ATPC,2025-04-03,deep_backside,opening_fbo,-0.11622677656920992,grade_b,0,0.75,0.75,1.6,0.4,58.922480620155035,67.44186046511629,1.29,2.0501,,0,1,2025-04
AREB,2025-04-04,high_and_tight,opening_fbo,2.0170082273273993,grade_a,1,0.8,0.8,2.1,0.4,102.020202020202,427.5252525252525,3.96,8.0,,1,0,2025-04
JNVR,2025-04-07,frontside,opening_fbo,0.31603741338105723,grade_b,1,0.75,0.75,1.8,0.5,256.75,1111.75,4.0,14.27,,2,0,2025-04
BJDX,2025-04-07,high_and_tight,opening_fbo,1.8466881711309444,grade_a,1,0.8,0.8,2.1,0.4,133.71104815864027,188.95184135977337,3.53,8.25,,3,0,2025-04
NAOV,2025-04-08,high_and_tight,opening_fbo,1.2961940626383333,grade_a,1,0.8,0.8,2.1,0.4,179.93197278911566,452.72108843537416,29.4,82.3,,4,0,2025-04
SXTP,2025-04-08,deep_backside,opening_fbo,1.4173425992157755,grade_a,1,0.75,0.75,1.6,0.4,37.34430604982207,145.21241103202848,1.7984,2.47,,5,0,2025-04
NXU,2025-04-08,deep_backside,opening_fbo,1.27055920812373,grade_a,1,0.75,0.75,1.6,0.4,66.07142857142857,87.5,2.24,3.72,,6,0,2025-04
GLXG,2025-04-08,deep_backside,opening_fbo,2.0924506817269433,grade_a,1,0.75,0.75,1.6,0.4,71.31304532879338,78.76143860395828,0.9398,1.61,,7,0,2025-04
VERO,2025-04-09,frontside,opening_fbo,0.41742262472354125,grade_b,1,0.75,0.75,1.8,0.5,248.2876712328767,396.5753424657534,2.92,10.17,,8,0,2025-04
PHIO,2025-04-09,high_and_tight,opening_fbo,2.0868952850991267,grade_a,1,0.8,0.8,2.1,0.4,111.88118811881188,170.29702970297032,1.01,2.1399999999999997,,9,0,2025-04
STSS,2025-04-10,backside_pop,opening_fbo,1.6532798686992267,grade_a,1,0.728,0.728,1.8,0.4,87.85714285714285,167.85714285714283,4.2,7.889999999999999,,10,0,2025-04
KTTA,2025-04-10,backside_pop,opening_fbo,2.0985880137603004,grade_a,1,0.728,0.728,1.8,0.4,70.64220183486239,114.67889908256876,1.09,1.86,,11,0,2025-04
PRFX,2025-04-10,deep_backside,opening_fbo,2.236339632906459,grade_a,1,0.75,0.75,1.6,0.4,54.395604395604394,91.75824175824177,1.82,2.81,,12,0,2025-04
WHLR,2025-04-10,deep_backside,opening_fbo,1.2575751456676239,grade_a,1,0.75,0.75,1.6,0.4,35.44303797468354,56.95780590717301,16.59,22.47,,13,0,2025-04
MSPR,2025-04-11,high_and_tight,opening_fbo,0.2768964048017302,grade_b,1,0.8,0.8,2.1,0.4,152.34375,175.78125,1.28,3.23,,14,0,2025-04
BON,2025-04-11,backside_pop,opening_fbo,2.278975427500232,grade_a,1,0.728,0.728,1.8,0.4,74.4645799011532,119.11037891268532,1.5175,2.6475,,15,0,2025-04
BULL,2025-04-14,high_and_tight,opening_fbo,1.5204978062918966,grade_a,1,0.8,0.8,2.1,0.4,108.60377358490568,500.4528301886792,13.25,27.64,,16,0,2025-04
XAGE,2025-04-14,backside_pop,opening_fbo,2.36021136325699,grade_a,1,0.728,0.728,1.8,0.4,139.80738362760837,149.03691813804173,3.738,8.964,,17,0,2025-04
MURA,2025-04-15,high_and_tight,opening_fbo,2.9353288349616884,grade_a,1,0.8,0.8,2.1,0.4,123.30097087378635,211.64077669902915,1.03,2.3,,18,0,2025-04
SNYR,2025-04-15,backside_pop,opening_fbo,2.2021213752490407,grade_a,1,0.728,0.728,1.8,0.4,117.31843575418996,127.93296089385473,1.79,3.89,,19,0,2025-04
TGL,2025-04-16,backside_pop,opening_fbo,2.165970906547236,grade_a,1,0.728,0.728,1.8,0.4,77.88461538461539,111.53846153846156,2.08,3.7,,20,0,2025-04
ICAD,2025-04-16,deep_backside,opening_fbo,1.561374017844738,grade_a,1,0.75,0.75,1.6,0.4,64.50777202072538,75.12953367875647,1.93,3.175,,21,0,2025-04
SBEV,2025-04-16,deep_backside,opening_fbo,-0.1716560083354005,grade_b,0,0.75,0.75,1.6,0.4,41.489361702127674,69.50354609929079,2.82,3.99,,0,1,2025-04
QURE,2025-04-17,deep_backside,opening_fbo,-0.37631992673212755,grade_c,0,0.75,0.75,1.6,0.4,38.498402555910545,50.798722044728414,9.39,13.005,,0,2,2025-04
UPXI,2025-04-21,frontside,opening_fbo,2.2798835735295557,grade_a,1,0.75,0.75,1.8,0.5,346.1873638344227,858.6056644880175,2.295,10.24,,1,0,2025-04
SHFS,2025-04-21,deep_backside,opening_fbo,1.4929823423130453,grade_a,1,0.75,0.75,1.6,0.4,73.09417040358744,94.16591928251124,2.23,3.86,,2,0,2025-04
GELS,2025-04-22,frontside,opening_fbo,1.5215082556710664,grade_a,1,0.75,0.75,1.8,0.5,326.6666666666667,356.66666666666674,0.9,3.84,,3,0,2025-04
TIVC,2025-04-22,high_and_tight,opening_fbo,2.1534362147550468,grade_a,1,0.8,0.8,2.1,0.4,230.57142857142856,278.0,3.5,11.57,,4,0,2025-04
WNW,2025-04-22,backside_pop,opening_fbo,2.2541819211365386,grade_a,1,0.728,0.728,1.8,0.4,63.709677419354826,137.90322580645164,1.24,2.03,,5,0,2025-04
OBLG,2025-04-22,backside_pop,opening_fbo,2.016902063512802,grade_a,1,0.728,0.728,1.8,0.4,85.04672897196261,105.60747663551405,2.14,3.96,,6,0,2025-04
ENSC,2025-04-23,high_and_tight,opening_fbo,0.43361936192983014,grade_b,1,0.8,0.8,2.1,0.4,126.20320855614976,159.35828877005343,1.87,4.23,,7,0,2025-04
AGMH,2025-04-23,high_and_tight,opening_fbo,2.1087282160428096,grade_a,1,0.8,0.8,2.1,0.4,122.33333333333334,158.0,1.5,3.335,,8,0,2025-04
SNOA,2025-04-23,deep_backside,opening_fbo,1.0474758036144647,grade_a,1,0.75,0.75,1.6,0.4,75.96566523605148,80.25751072961373,2.33,4.1,,9,0,2025-04
CNEY,2025-04-24,deep_backside,opening_fbo,1.2353558962947506,grade_a,1,0.75,0.75,1.6,0.4,54.44531864673484,59.32336742722264,3.1775,4.9075,,10,0,2025-04
OMEX,2025-04-25,backside_pop,opening_fbo,-0.4957897331756379,grade_c,0,0.728,0.728,1.8,0.4,84.25067480342683,111.24281187654032,0.8521,1.57,,0,1,2025-04
AGMH,2025-04-25,deep_backside,opening_fbo,1.792733231500863,grade_a,1,0.75,0.75,1.6,0.4,54.35897435897436,74.35897435897436,1.95,3.01,,1,0,2025-04
RETO,2025-04-25,deep_backside,opening_fbo,0.2507130673627816,grade_b,1,0.75,0.75,1.6,0.4,54.03830141548707,60.14432417429918,3.603,5.55,,2,0,2025-04
GLMD,2025-04-28,deep_backside,opening_fbo,-0.47472335106221303,grade_c,0,0.75,0.75,1.6,0.4,58.59872611464969,70.70063694267516,1.57,2.49,,0,1,2025-04
RGLS,2025-04-30,backside_pop,opening_fbo,1.0883156443705817,grade_a,1,0.728,0.728,1.8,0.4,136.94362017804153,143.32344213649847,3.37,7.985,,1,0,2025-04
JFBR,2025-04-30,backside_pop,opening_fbo,-0.47899608777099356,grade_c,0,0.728,0.728,1.8,0.4,101.17647058823532,111.76470588235294,14.45,29.07,,0,1,2025-04
IVF,2025-04-30,deep_backside,opening_fbo,2.0066764472512997,grade_a,1,0.75,0.75,1.6,0.4,35.40372670807454,98.75776397515529,4.83,6.54,,1,0,2025-04
KIDZ,2025-05-01,high_and_tight,opening_fbo,-0.48831482160262285,grade_c,0,0.8,0.8,2.1,0.4,109.5652173913044,372.17391304347825,1.15,2.41,,0,1,2025-05
ZCAR,2025-05-01,high_and_tight,opening_fbo,0.2698339810380263,grade_b,1,0.8,0.8,2.1,0.4,158.96805896805893,342.26044226044223,4.07,10.54,,1,0,2025-05
FRGT,2025-05-02,high_and_tight,opening_fbo,1.3313562010705111,grade_a,1,0.8,0.8,2.1,0.4,217.8310316815597,254.37652315190903,3.9392,12.52,,2,0,2025-05
KIDZ,2025-05-02,deep_backside,opening_fbo,-0.46118580928611885,grade_c,0,0.75,0.75,1.6,0.4,52.14552238805968,98.69402985074626,5.36,8.155,,0,1,2025-05
CNEY,2025-05-02,deep_backside,opening_fbo,1.340359524609237,grade_a,1,0.75,0.75,1.6,0.4,44.78138222849085,50.21156558533146,3.545,5.1325,,1,0,2025-05
GPUS,2025-05-05,high_and_tight,opening_fbo,2.044784888004769,grade_a,1,0.8,0.8,2.1,0.4,131.3868613138686,562.7737226277371,1.37,3.17,,2,0,2025-05
FOXO,2025-05-06,high_and_tight,opening_fbo,2.450290936747455,grade_a,1,0.8,0.8,2.1,0.4,219.142044556802,274.16653499763,1.2658,4.0397,,3,0,2025-05
KTTA,2025-05-06,backside_pop,opening_fbo,0.13062722878978805,grade_b,1,0.728,0.728,1.8,0.4,55.633802816901415,166.90140845070425,1.42,2.21,,4,0,2025-05
AIFU,2025-05-06,backside_pop,opening_fbo,2.1451331660641886,grade_a,1,0.728,0.728,1.8,0.4,90.3643724696356,126.72064777327932,2.47,4.702,,5,0,2025-05
NCEW,2025-05-07,deep_backside,opening_fbo,0.30603162436252135,grade_b,1,0.75,0.75,1.6,0.4,41.70403587443947,78.02690582959642,2.23,3.16,,6,0,2025-05
CNEY,2025-05-07,deep_backside,opening_fbo,0.47770100634697704,grade_b,1,0.75,0.75,1.6,0.4,62.53086419753085,62.53086419753087,4.05,6.5825,,7,0,2025-05
ASST,2025-05-08,backside_pop,opening_fbo,2.162425340915979,grade_a,1,0.728,0.728,1.8,0.4,63.71681415929202,159.58702064896758,3.39,5.55,,8,0,2025-05
STI,2025-05-08,deep_backside,opening_fbo,1.1562010321951415,grade_a,1,0.75,0.75,1.6,0.4,53.8788522848034,82.99681190223166,4.705,7.24,,9,0,2025-05
WGRX,2025-05-08,deep_backside,opening_fbo,1.3782958349616619,grade_a,1,0.75,0.75,1.6,0.4,52.77777777777776,62.962962962962955,4.32,6.6,,10,0,2025-05
SYTA,2025-05-09,backside_pop,opening_fbo,0.15419877588654174,grade_b,1,0.728,0.728,1.8,0.4,68.4360963658636,104.1649652919559,0.9796,1.65,,11,0,2025-05
ZKIN,2025-05-09,deep_backside,opening_fbo,1.800544788824396,grade_a,1,0.75,0.75,1.6,0.4,64.28571428571426,77.38095238095238,2.52,4.14,,12,0,2025-05
SHPH,2025-05-09,deep_backside,opening_fbo,1.4793853197325721,grade_a,1,0.75,0.75,1.6,0.4,64.07407407407406,66.66666666666667,6.75,11.075,,13,0,2025-05
KDLY,2025-05-12,frontside,opening_fbo,2.1509572660357916,grade_a,1,0.75,0.75,1.8,0.5,631.1538461538462,706.4102564102564,3.9,28.514999999999997,,14,0,2025-05
YHC,2025-05-12,backside_pop,opening_fbo,2.0786441478437663,grade_a,1,0.728,0.728,1.8,0.4,93.46733668341707,286.9346733668342,1.99,3.85,,15,0,2025-05
CTMX,2025-05-12,backside_pop,opening_fbo,2.4888684541329122,grade_a,1,0.728,0.728,1.8,0.4,104.65316673847478,134.8125807841448,0.9284,1.9,,16,0,2025-05
NXTT,2025-05-12,backside_pop,opening_fbo,1.5290122024685127,grade_a,1,0.728,0.728,1.8,0.4,70.33898305084745,103.38983050847456,2.36,4.02,,17,0,2025-05
GDC,2025-05-12,deep_backside,opening_fbo,2.1524120556976367,grade_a,1,0.75,0.75,1.6,0.4,53.40909090909089,79.54545454545455,2.2,3.375,,18,0,2025-05
HCWB,2025-05-13,high_and_tight,opening_fbo,-0.16919115294185863,grade_b,0,0.8,0.8,2.1,0.4,187.9078694817658,241.64875239923225,5.21,15.0,,0,1,2025-05
LOBO,2025-05-13,high_and_tight,opening_fbo,-0.41464303516880285,grade_c,0,0.8,0.8,2.1,0.4,160.55263157894737,217.1052631578947,0.76,1.9802,,0,2,2025-05
CNSP,2025-05-13,backside_pop,opening_fbo,1.912149317684102,grade_a,1,0.728,0.728,1.8,0.4,101.65289256198348,139.66115702479337,14.52,29.28,,1,0,2025-05
LSEA,2025-05-13,deep_backside,opening_fbo,1.9930111337051784,grade_a,1,0.75,0.75,1.6,0.4,60.08553100498932,60.65573770491803,7.015,11.23,,2,0,2025-05
SEPN,2025-05-14,deep_backside,opening_fbo,1.5225054399114146,grade_a,1,0.75,0.75,1.6,0.4,60.77265973254086,68.79643387815749,6.73,10.82,,3,0,2025-05
LUCY,2025-05-14,deep_backside,opening_fbo,2.156289463953575,grade_a,1,0.75,0.75,1.6,0.4,51.51515151515152,63.63636363636365,1.98,3.0,,4,0,2025-05
QNRX,2025-05-14,deep_backside,opening_fbo,1.2527370523562005,grade_a,1,0.75,0.75,1.6,0.4,38.836477987421375,51.415094339622634,6.36,8.83,,5,0,2025-05
BLUE,2025-05-14,deep_backside,opening_fbo,1.8505191473432157,grade_a,1,0.75,0.75,1.6,0.4,50.15105740181268,50.75528700906344,3.31,4.97,,6,0,2025-05
AYTU,2025-05-15,deep_backside,opening_fbo,1.0553444971331458,grade_a,1,0.75,0.75,1.6,0.4,43.70370370370369,100.0,1.35,1.94,,7,0,2025-05
FL,2025-05-15,deep_backside,opening_fbo,1.1505987627087768,grade_a,1,0.75,0.75,1.6,0.4,83.3721833721834,86.16938616938619,12.87,23.6,,8,0,2025-05
INZY,2025-05-16,high_and_tight,opening_fbo,1.7115738287918512,grade_a,1,0.8,0.8,2.1,0.4,178.16901408450707,178.87323943661974,1.42,3.9499999999999997,,9,0,2025-05
CAPS,2025-05-16,deep_backside,opening_fbo,1.5326937372881027,grade_a,1,0.75,0.75,1.6,0.4,66.26506024096385,98.19277108433737,1.66,2.76,,10,0,2025-05
TSSI,2025-05-16,deep_backside,opening_fbo,1.4043447523243098,grade_a,1,0.75,0.75,1.6,0.4,46.56144306651636,84.89289740698986,8.87,13.0,,11,0,2025-05
AMST,2025-05-16,deep_backside,opening_fbo,1.798512319049626,grade_a,1,0.75,0.75,1.6,0.4,71.8705357142857,81.69642857142856,2.24,3.8499,,12,0,2025-05
BON,2025-05-16,deep_backside,opening_fbo,1.5639324640115673,grade_a,1,0.75,0.75,1.6,0.4,57.00575815738963,62.188099808061416,1.3025,2.045,,13,0,2025-05
PTIX,2025-05-19,high_and_tight,opening_fbo,0.40366222904522936,grade_b,1,0.8,0.8,2.1,0.4,172.93729372937295,371.28712871287127,3.03,8.27,,14,0,2025-05
NRXS,2025-05-20,high_and_tight,opening_fbo,-0.09404246729064557,grade_b,0,0.8,0.8,2.1,0.4,145.37444933920708,173.12775330396474,2.27,5.57,,0,1,2025-05
SYTA,2025-05-20,backside_pop,opening_fbo,2.1639345537063006,grade_a,1,0.728,0.728,1.8,0.4,53.56265356265355,107.37100737100734,4.07,6.25,,1,0,2025-05
EYEN,2025-05-20,deep_backside,opening_fbo,1.3526723284145232,grade_a,1,0.75,0.75,1.6,0.4,57.52212389380532,59.29203539823011,1.13,1.78,,2,0,2025-05
QIPT,2025-05-20,deep_backside,opening_fbo,2.169230314386066,grade_a,1,0.75,0.75,1.6,0.4,36.20071684587813,59.139784946236574,1.395,1.9,,3,0,2025-05
SGMA,2025-05-21,backside_pop,opening_fbo,1.6902053631319207,grade_a,1,0.728,0.728,1.8,0.4,127.13178294573645,131.78294573643413,1.29,2.9299999999999997,,4,0,2025-05
VIGL,2025-05-22,high_and_tight,opening_fbo,2.662959246854201,grade_a,1,0.8,0.8,2.1,0.4,240.6926406926407,244.15584415584416,2.31,7.870000000000001,,5,0,2025-05
NVTS,2025-05-22,high_and_tight,opening_fbo,2.5357910351636344,grade_a,1,0.8,0.8,2.1,0.4,156.8062827225131,174.869109947644,1.91,4.905,,6,0,2025-05
XAGE,2025-05-22,deep_backside,opening_fbo,0.4014763248174564,grade_b,1,0.75,0.75,1.6,0.4,58.496732026143775,61.76470588235294,3.06,4.85,,7,0,2025-05
IMNN,2025-05-23,high_and_tight,opening_fbo,2.567288184146021,grade_a,1,0.8,0.8,2.1,0.4,205.64627733185716,234.54193191253805,5.4195,16.5645,,8,0,2025-05
SBET,2025-05-27,frontside,opening_fbo,2.2093663544096085,grade_a,1,0.75,0.75,1.8,0.5,404.91071428571433,695.3869047619048,6.72,33.93,,9,0,2025-05
SGN,2025-05-28,frontside,opening_fbo,0.4254979606512737,grade_b,1,0.75,0.75,1.8,0.5,281.9277108433735,414.4457831325301,0.83,3.17,,10,0,2025-05
LVWR,2025-05-28,deep_backside,opening_fbo,1.0139968299695032,grade_a,1,0.75,0.75,1.6,0.4,44.53125000000001,82.421875,2.56,3.7,,11,0,2025-05
ALZN,2025-05-29,backside_pop,opening_fbo,1.199260980264377,grade_a,1,0.728,0.728,1.8,0.4,133.73493975903614,147.59036144578317,3.32,7.76,,12,0,2025-05
HCTI,2025-05-29,backside_pop,opening_fbo,1.0893787162124786,grade_a,1,0.728,0.728,1.8,0.4,105.17241379310344,120.6896551724138,1.4442,2.9631,,13,0,2025-05
ZEO,2025-05-29,backside_pop,opening_fbo,1.4951543793357915,grade_a,1,0.728,0.728,1.8,0.4,80.37974683544303,119.62025316455696,1.58,2.85,,14,0,2025-05
WETO,2025-05-29,backside_pop,opening_fbo,1.9230121777604605,grade_a,1,0.728,0.728,1.8,0.4,97.44897959183676,116.83673469387756,1.96,3.87,,15,0,2025-05
GITS,2025-05-30,high_and_tight,opening_fbo,2.426097745788288,grade_a,1,0.8,0.8,2.1,0.4,217.89473684210532,228.4105263157895,0.95,3.0200000000000005,,16,0,2025-05
BLRX,2025-05-30,backside_pop,opening_fbo,0.1823602682433556,grade_b,1,0.728,0.728,1.8,0.4,54.84449602996649,104.96188240259568,3.7909,5.87,,17,0,2025-05
BSLK,2025-05-30,deep_backside,opening_fbo,0.9688992729612895,grade_a,1,0.75,0.75,1.6,0.4,75.13812154696132,96.13259668508285,1.81,3.17,,18,0,2025-05
LYRA,2025-06-02,frontside,opening_fbo,1.9570836813913133,grade_a,1,0.75,0.75,1.8,0.5,488.43813387423944,660.6490872210954,4.93,29.009999999999998,,19,0,2025-06
INM,2025-06-02,high_and_tight,opening_fbo,-0.11531084699849925,grade_b,0,0.8,0.8,2.1,0.4,122.89156626506022,220.48192771084337,2.49,5.55,,0,1,2025-06
OGEN,2025-06-02,high_and_tight,opening_fbo,1.6031071808381874,grade_a,1,0.8,0.8,2.1,0.4,125.0,166.66666666666666,3.6,8.1,,1,0,2025-06
IRD,2025-06-02,deep_backside,opening_fbo,1.063784108836427,grade_a,1,0.75,0.75,1.6,0.4,69.9346405228758,75.96782302664656,0.9945,1.69,,2,0,2025-06
VERA,2025-06-02,deep_backside,opening_fbo,1.3476867249702107,grade_a,1,0.75,0.75,1.6,0.4,67.4934036939314,73.24538258575197,18.95,31.74,,3,0,2025-06
MCTR,2025-06-03,deep_backside,opening_fbo,0.01512148319276671,grade_b,1,0.75,0.75,1.6,0.4,45.30908794057022,587.5650523480072,4.8999,7.12,,4,0,2025-06
TRAW,2025-06-03,deep_backside,opening_fbo,1.6560514691610113,grade_a,1,0.75,0.75,1.6,0.4,78.16901408450704,81.69014084507045,1.42,2.5300000000000002,,5,0,2025-06
KWM,2025-06-04,high_and_tight,opening_fbo,1.745099224099367,grade_a,1,0.8,0.8,2.1,0.4,147.91666666666669,236.97395833333331,1.92,4.76,,6,0,2025-06
CLRB,2025-06-04,backside_pop,opening_fbo,1.6482365432255726,grade_a,1,0.728,0.728,1.8,0.4,53.38616714697406,147.2946685878963,8.328,12.774,,7,0,2025-06
STSS,2025-06-04,deep_backside,opening_fbo,1.7794961627545751,grade_a,1,0.75,0.75,1.6,0.4,56.55080213903744,88.23529411764706,3.74,5.855,,8,0,2025-06
BAOS,2025-06-04,deep_backside,opening_fbo,1.310693805720818,grade_a,1,0.75,0.75,1.6,0.4,83.1223628691983,85.2320675105485,2.37,4.34,,9,0,2025-06
SCNI,2025-06-05,backside_pop,opening_fbo,-0.355730690252205,grade_c,0,0.728,0.728,1.8,0.4,138.4920634920635,145.2380952380952,2.52,6.01,,0,1,2025-06
ZENA,2025-06-05,deep_backside,opening_fbo,1.2343475467770884,grade_a,1,0.75,0.75,1.6,0.4,48.74213836477988,117.61006289308176,3.18,4.73,,1,0,2025-06
WBUY,2025-06-06,backside_pop,opening_fbo,1.6660542366117574,grade_a,1,0.728,0.728,1.8,0.4,58.04347826086956,116.08478260869566,4.6,7.27,,2,0,2025-06
EYEN,2025-06-06,deep_backside,opening_fbo,1.693486533231909,grade_a,1,0.75,0.75,1.6,0.4,36.624203821656046,87.26114649681527,3.14,4.29,,3,0,2025-06
VERO,2025-06-06,deep_backside,opening_fbo,1.4311798447781956,grade_a,1,0.75,0.75,1.6,0.4,62.76150627615063,77.82426778242677,2.39,3.89,,4,0,2025-06
KNW,2025-06-09,high_and_tight,opening_fbo,0.1333546785408669,grade_b,1,0.8,0.8,2.1,0.4,119.23076923076924,151.27564102564102,1.56,3.42,,5,0,2025-06
KLTO,2025-06-10,backside_pop,opening_fbo,1.5051254194196626,grade_a,1,0.728,0.728,1.8,0.4,63.1868131868132,114.82967032967034,1.82,2.9699999999999998,,6,0,2025-06
EVGN,2025-06-10,backside_pop,opening_fbo,0.19443458762935256,grade_b,1,0.728,0.728,1.8,0.4,84.07079646017701,114.15929203539824,1.13,2.08,,7,0,2025-06
MEGL,2025-06-10,deep_backside,opening_fbo,-0.30593765515403926,grade_c,0,0.75,0.75,1.6,0.4,67.04394660838344,74.06915931621265,1.2811,2.14,,0,1,2025-06
VTAK,2025-06-11,high_and_tight,opening_fbo,2.425888891410067,grade_a,1,0.8,0.8,2.1,0.4,214.5318021201414,264.52715268737217,4.3016,13.529900000000001,,1,0,2025-06
KZIA,2025-06-11,backside_pop,opening_fbo,1.9481598384584262,grade_a,1,0.728,0.728,1.8,0.4,99.79829886019829,144.70344223926318,5.2553,10.5,,2,0,2025-06
TRNR,2025-06-11,deep_backside,opening_fbo,0.23936043459854817,grade_b,1,0.75,0.75,1.6,0.4,47.84445272704686,56.54118524040255,8.049,11.9,,3,0,2025-06
HCTI,2025-06-12,frontside,opening_fbo,1.8445174192293847,grade_a,1,0.75,0.75,1.8,0.5,260.8695652173913,371.7391304347826,2.2908,8.2668,,4,0,2025-06
GNLN,2025-06-12,backside_pop,opening_fbo,1.7293751651107019,grade_a,1,0.728,0.728,1.8,0.4,96.10389610389608,119.48051948051948,5.775,11.325,,5,0,2025-06
SOAR,2025-06-12,deep_backside,opening_fbo,2.2299142216435683,grade_a,1,0.75,0.75,1.6,0.4,55.5299539170507,69.12442396313365,2.17,3.375,,6,0,2025-06
RBNE,2025-06-13,frontside,opening_fbo,1.0918552200835052,grade_a,1,0.75,0.75,1.8,0.5,247.7611940298507,514.0268656716418,3.35,11.65,,7,0,2025-06
HUSA,2025-06-13,backside_pop,opening_fbo,0.11104875967364203,grade_b,1,0.728,0.728,1.8,0.4,80.11204481792717,176.47058823529412,7.14,12.86,,8,0,2025-06
USEG,2025-06-13,deep_backside,opening_fbo,0.9622135222972058,grade_a,1,0.75,0.75,1.6,0.4,79.57746478873239,93.66197183098592,1.42,2.55,,9,0,2025-06
ICON,2025-06-13,deep_backside,opening_fbo,1.5274536565120354,grade_a,1,0.75,0.75,1.6,0.4,60.89385474860334,83.79329608938546,1.79,2.88,,10,0,2025-06
SRM,2025-06-16,frontside,opening_fbo,0.4494486256256049,grade_b,1,0.75,0.75,1.8,0.5,280.6896551724138,647.5793103448276,1.45,5.52,,11,0,2025-06
